time,open,high,low,close,tick_volume,spread,real_volume
2026-07-22 01:00:00,4076.59,4080.53,4076.55,4078.29,316,54,0
2026-07-22 01:05:00,4078.63,4079.71,4076.91,4077.89,483,15,0
2026-07-22 01:10:00,4077.95,4079.3,4077.41,4078.99,375,15,0
2026-07-22 01:15:00,4078.91,4080.84,4078.2,4080.1,612,21,0
2026-07-22 01:20:00,4080.17,4082.17,4080.17,4080.62,490,8,0
2026-07-22 01:25:00,4080.65,4083.02,4080.54,4082.85,607,8,0
2026-07-22 01:30:00,4082.85,4085.04,4082.51,4083.78,641,8,0
2026-07-22 01:35:00,4083.78,4084.98,4082.7,4084.41,497,17,0
2026-07-22 01:40:00,4084.38,4084.99,4083.83,4083.95,382,12,0
2026-07-22 01:45:00,4083.9,4084.35,4081.05,4081.07,704,13,0
2026-07-22 01:50:00,4081.16,4082.04,4078.16,4079.66,776,9,0
2026-07-22 01:55:00,4079.65,4081.27,4079.57,4080.4,422,14,0
2026-07-22 02:00:00,4080.4,4081.32,4079.45,4080.44,590,10,0
2026-07-22 02:05:00,4080.44,4081.83,4080.0,4081.1,403,27,0
2026-07-22 02:10:00,4081.1,4081.92,4080.24,4081.26,356,10,0
2026-07-22 02:15:00,4081.26,4082.48,4080.81,4082.34,322,17,0
2026-07-22 02:20:00,4082.24,4082.35,4081.09,4082.12,242,26,0
2026-07-22 02:25:00,4082.1,4082.47,4080.95,4081.12,354,22,0
2026-07-22 02:30:00,4081.13,4081.68,4080.49,4080.62,298,8,0
2026-07-22 02:35:00,4080.55,4082.05,4080.42,4081.91,321,7,0
2026-07-22 02:40:00,4081.92,4082.34,4079.16,4080.41,531,12,0
2026-07-22 02:45:00,4080.4,4083.03,4079.33,4080.76,635,9,0
2026-07-22 02:50:00,4080.76,4081.17,4080.06,4080.35,277,34,0
2026-07-22 02:55:00,4080.36,4081.04,4079.19,4080.56,795,13,0
2026-07-22 03:00:00,4080.55,4082.8,4076.62,4082.7,2175,8,0
2026-07-22 03:05:00,4082.72,4090.08,4081.33,4088.1,2041,8,0
2026-07-22 03:10:00,4088.03,4092.72,4087.49,4092.17,1766,9,0
2026-07-22 03:15:00,4092.16,4098.02,4092.16,4095.45,2067,7,0
2026-07-22 03:20:00,4095.45,4097.65,4092.67,4097.11,1800,8,0
2026-07-22 03:25:00,4097.14,4098.69,4096.65,4098.05,1974,7,0
2026-07-22 03:30:00,4098.08,4102.36,4090.18,4091.41,1945,8,0
2026-07-22 03:35:00,4091.39,4097.15,4089.62,4094.74,1633,8,0
2026-07-22 03:40:00,4094.74,4095.13,4091.63,4092.75,1466,9,0
2026-07-22 03:45:00,4092.75,4099.35,4091.44,4096.43,2039,8,0
2026-07-22 03:50:00,4096.42,4097.25,4093.4,4094.0,1566,20,0
2026-07-22 03:55:00,4094.0,4097.53,4093.1,4097.42,1987,11,0
2026-07-22 04:00:00,4097.44,4113.38,4096.72,4110.51,3204,7,0
2026-07-22 04:05:00,4110.58,4117.39,4109.96,4115.89,3038,7,0
2026-07-22 04:10:00,4115.86,4121.46,4113.5,4121.24,2841,8,0
2026-07-22 04:15:00,4121.19,4121.62,4111.94,4112.81,2439,7,0
2026-07-22 04:20:00,4112.75,4115.83,4111.69,4112.44,2819,8,0
2026-07-22 04:25:00,4112.42,4116.7,4112.15,4115.52,2689,11,0
2026-07-22 04:30:00,4115.54,4117.18,4112.86,4116.68,2865,8,0
2026-07-22 04:35:00,4116.69,4121.4,4114.72,4119.54,2761,8,0
